index,type,title,director,cast,country,release_year,rating,duration,listed_in,description,n_countries
1743,1,mother,tatsushi omori,"masami nagasawa, sadao abe, daiken okudaira",japan,2020,tv 14,127,"dramas, international movies","shuheis erratic mother feels threatened when he starts to awaken to a world beyond her distorted control, sending the family hurtling towards tragedy.",1
1744,1,the beginning of life,estela renner,nan,nan,2016,tv pg,96,"documentaries, international movies","scientists, advocates and parents around the world explore how carefully tending to kids earliest needs can shape the course of human society.",1
1745,1,ya no estoy aqui una conversacion entre guillermo del toro y alfonso cuaron,nan,"guillermo del toro, alfonso cuaron",nan,2020,tv pg,15,documentaries,guillermo del toro and alfonso cuaron discuss fellow mexican director fernando frias de la parra s award winning film i m no longer here.,1
1746,0,can you hear me,nan,"melissa bedard, eve landry, florence longpre",canada,2020,tv ma,2,"international tv shows, tv comedies, tv dramas",three friends in a low income neighborhood find humor and hope in their lives as they grapple with bad boyfriends and their dysfunctional families.,1
1747,1,prospect,"zeek earl, christopher caldwell","sophie thatcher, pedro pascal, jay duplass, andre royo, sheila vand, anwan glover","canada, united states",2018,r,100,"sci fi fantasy, thrillers",a father and daughter travel to an alien moon in search of a valuable gem but are forced to alter their plans when a nefarious outlaw gets involved.,3
1748,0,60 days in,nan,nan,united states,2019,tv ma,1,reality tv,"recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries.",2
1749,1,christmas break in,michael kampa,"danny glover, denise richards, cameron seely, sean o bryan, katrina begin, jake van wagoner, douglas spain, dawson ehlke",united states,2019,tv pg,87,"children family movies, comedies","stranded at school before holiday break, a precocious girl gets into the spirit of saving when a trio of robbers trespass and hold the janitor hostage.",2
1750,0,dawson s creek,nan,"james van der beek, katie holmes, michelle williams, joshua jackson, kerr smith, meredith monroe, busy philipps, mary beth peil",united states,2002,tv 14,6,"romantic tv shows, tv dramas, teen tv shows","this nighttime soap about a group of close knit teens frankly depicts the issues of adolescence that obsess young adults, including sex, sex and sex.",2
1754,0,forged in fire,nan,wil willis,united states,2019,tv 14,1,reality tv,bladesmiths vie for a cash prize by forging the best metal weapons from the pages of history in this competition series featuring expert judges.,2
1755,0,leah remini scientology and the aftermath,nan,"leah remini, mike rinder",united states,2018,tv 14,3,docuseries,former scientology members share detailed accounts of alleged abuse and harassment by the church in this docuseries from actress leah remini.,2
1762,1,mile 22,peter berg,"mark wahlberg, lauren cohan, iko uwais, john malkovich, ronda rousey, carlo alban, sam medina, terry kinney, nikolai nikolaeff, natasha goubskaya","united states, china, colombia",2018,r,94,action adventure,"an officer in a top secret cia unit leads his team in escorting a prized intelligence asset to safety, with enemy forces hot on their trail.",3
1763,1,piercing,nicolas pesce,"christopher abbott, mia wasikowska, laia costa, marin ireland, maria dizzia, wendell pierce, olivia bond, dakota lustick",united states,2018,r,81,"dramas, independent movies, thrillers",a family man plots to kill a spellbinding sex worker but ends up in a psychosexual exercise to outwit his twisted target.,2
1764,1,snowden,oliver stone,"joseph gordon levitt, shailene woodley, zachary quinto, melissa leo, tom wilkinson, timothy olyphant, nicolas cage, rhys ifans, joely richardson, scott eastwood, ben schnetzer, logan marshall green","united kingdom, france, germany, united states",2016,r,134,"dramas, thrillers",this thriller traces edward snowden s journey from army recruit to disillusioned government analyst bent on exposing vast u.s. surveillance programs.,3
1766,0,the good detective,nan,"son hyun joo, jang seung jo, lee elijah, oh jung se",south korea,2020,tv ma,1,"crime tv shows, international tv shows, tv dramas","when doubts rise about a five year old murder conviction, a veteran detective partners with a young hotshot to hunt down the case s hidden truths.",2
1767,1,the impossible,j.a. bayona,"naomi watts, ewan mcgregor, tom holland, samuel joslin, oaklee pendergast, marta etura, sonke mohring, geraldine chaplin, ploy jindachote, jomjaoi sae limh","spain, thailand, united states",2012,pg 13,114,dramas,"tracking one family s harrowing experiences, this gripping drama depicts the chaos generated by the massive 2004 tsunami in southeast asia.",3
1769,0,voice,nan,"jang hyuk, lee ha na, baek sung hyun, ye sung, son eun seo, kwon jae hwan, lee ju seung, kim jae wook",south korea,2018,tv 14,2,"crime tv shows, international tv shows, korean tv shows","a deft detective whose wife is killed by a serial murderer teams up with a rookie cop, a gifted voice profiler dealing with her own fathers murder.",2
1770,1,wheels of fortune,shaun paul piccinino,"matt jones, noureen dewulf, john ducey, matty cardarople, jeff fahey, christina moore, gabriel tigerman, ali afshar, tyler jacob moore, jessica serfaty",united states,2020,r,107,"comedies, sports movies","to claim a big inheritance, a down on his luck mechanic must win a series of competitions as outlined in his birth father s will.",2
1771,0,afronta facing it,juliana vicente,"loo nascimento, ingrid silva, rincon sapiencia, batekoo, gabriel martins, benjamin abras, daniele damata, tasha tracie okereke, mariana de matos, andre novais, mahal pita, grace passo, thamyra thamara, xenia franca, criola, dani ornellas, anelis assumpcao, maga moura, tassia reis, liniker, yasmin thayna, raquel virginia, juliana luna, erica malunguinho, diane lima, karol conka",brazil,2017,tv pg,1,"docuseries, international tv shows","this docuseries spotlights afro brazilian thinkers sharing their individual journeys and discussing representation, entrepreneurship and community.",1
1772,1,the 12th man,harald zwart,"thomas gullestad, jonathan rhys meyers, marie blokhus, mads sjgard pettersen, vegar hoel, hakon t. nielsen, eirik risholm velle, daniel frikstad, eric dirnes, alexander zwart",norway,2018,tv ma,130,"action adventure, dramas, international movies","based on true events, this story follows a norwegian saboteurs harrowing struggle to reach safety after escaping a nazi attack during world war ii.",1
1773,0,zumbo s just desserts,nan,"adriano zumbo, rachel khoo",australia,2019,tv pg,1,"international tv shows, reality tv","dessert wizard adriano zumbo looks for the next willy wonka in this tense competition that finds skilled amateurs competing for a $100,000 prize.",1
1774,1,hidden in plain sight,stacia crawford,"victoria barabas, gino anthony pesi, jake allyn, deborah van valkenburgh, jessica meraz, jack fisher, eve sigall, jerod meagher",united states,2019,tv 14,87,"dramas, independent movies, thrillers",a woman stages her own suicide but still lives in fear of her abusive ex boyfriend tracking her down and stealing the son he never knew he had.,2
1775,1,his house,remi weekes,"sope dirisu, wunmi mosaku, matt smith, malaika wakoli abigaba",united kingdom,2020,tv 14,93,"horror movies, independent movies","as a young couple from war torn south sudan seeks asylum and a fresh start in england, theyre tormented by a sinister force living in their new home.",2
1776,1,in line,tope oshin,"chris attoh, adesua etomi, uzor arukwe, sika osei, leonora okien, shawn faqua, tina mba",nigeria,2017,tv 14,114,"dramas, international movies","a convicted murderer gets out of prison and reunites with his wife, who is plotting revenge against him after years of physical and emotional abuse.",1
1777,1,kaali khuhi,terrie samundra,"shabana azmi, leela samson, sanjeeda sheikh, satyadeep misra, riva arora, hetvi bhanushali, rose rathod",india,2020,tv 14,91,"horror movies, international movies","when a restless spirit curses a village that has a history of female infanticide, the town s fate lies in the hands of a 10 year old girl.",1
1779,0,marvel s agents of s.h.i.e.l.d.,nan,"clark gregg, ming na wen, brett dalton, chloe bennet, iain de caestecker, elizabeth henstridge, adrianne palicki, luke mitchell, henry simmons",united states,2020,tv 14,7,"tv action adventure, tv sci fi fantasy","agent phil coulson, seen in action in marvel s the avengers, assembles a team of top s.h.i.e.l.d. agents to investigate bizarre threats.",2
1780,1,rogue city,olivier marchal,"lannick gautry, stanislas merhar, kaaris, david belle, jean reno, claudia cardinale, gerard lanvin, patrick catalifo, moussa maaskri, catherine marchal",france,2020,tv ma,116,"dramas, international movies, thrillers","caught in the crosshairs of police corruption and marseilles warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",1
1781,0,somebody feed phil,nan,philip rosenthal,united states,2020,tv 14,4,"docuseries, reality tv","everybody loves raymond creator phil rosenthal travels the globe to take in the local cuisine and culture of bangkok, lisbon, mexico city and more.",2
1782,0,suburra blood on rome,nan,"alessandro borghi, giacomo ferrara, eduardo valdarnini, francesco acquaroli, filippo nigro, claudia gerini, adamo dionisi, barbara chichiarelli, federico tocci, gerasimos skiadaresis, elisabetta de palo, carlotta antonelli, renato marchetti, paola sotgiu",italy,2020,tv ma,3,"crime tv shows, international tv shows, tv dramas","in 2008, a fight over land in a seaside town near rome spirals into a deadly battle between organized crime, corrupt politicians and the vatican.",1
1783,1,the day of the lord,santiago alvarado ilarri,"juli fabregas, ximena romo, hector illanes, dolores heredia","mexico, spain",2020,tv ma,93,"horror movies, international movies","in this horror movie, a retired priest haunted by his sins is pulled back into the darkness when a friend begs him to help his possessed daughter.",2
1784,1,pagpag nine lives,frasco mortiz,"daniel padilla, kathryn bernardo, shaina magdayao, paulo avelino, matet de leon, janus del prado, miles ocampo, clarence delgado, cj navato, michelle vito",philippines,2013,tv 14,106,"horror movies, international movies","after ignoring superstitions, a group of teenagers find themselves in a fight for their lives when they are haunted and hunted by an evil spirit.",1
1785,1,holidate,john whitesell,"emma roberts, luke bracey, kristin chenoweth, frances fisher, jessica capshaw, andrew bachelor, cynthy wu, alex moffat, manish dayal",united states,2020,tv ma,105,"comedies, romantic movies","fed up with being single on holidays, two strangers agree to be each other s platonic plus ones all year long, only to catch real feelings along the way.",2
1786,1,la gran ilusion,antonio diaz,antonio diaz,nan,2016,tv 14,50,international movies,"known as el mago pop, illusionist antonio diaz shocks and awes celebrities and bystanders around the world with his mind blowing performances.",1
1787,1,metallica through the never,nimrod antal,"dane dehaan, james hetfield, lars ulrich, kirk hammett, robert trujillo",united states,2013,r,93,music musicals,"as heavy metal band metallica tears up the stage, a young roadie is sent on an urgent errand. but his mission soon takes a surreal turn.",2
1788,1,nobody sleeps in the woods tonight,bartosz m. kowalski,"julia wieniawa narkiewicz, micha lupa, wiktoria gasiewska, stanisaw cywka, sebastian dela, gabriela muskaa, micha zbroja, mirosaw zbrojewicz, piotr cyrwus, olaf lubaszenko, wojciech mecwaldowski",poland,2020,tv ma,103,"horror movies, international movies","addicted to technology, a group of teens attends a rehabilitation camp in the forest, but a sinister force there intends to take them offline forever.",1
1789,1,secrets of the saqqara tomb,james tovell,nan,united states,2020,tv pg,114,documentaries,"after unearthing a tomb that had been untouched for 4,400 years, egyptian archaeologists attempt to decipher the history of the extraordinary find.",2
1790,0,blood of zeus,nan,"derek phillips, jason o mara, claudia christian, mamie gummer, jessica henwick, elias toufexis, chris diamantopoulos, adetokumboh m cormack, matthew mercer, melina kanakaredes, danny jacobs, matt lowe, adam croasdell, jennifer hale, david shaughnessy, fred tatasciore, vanessa marshall",united states,2020,tv ma,1,anime series,"a commoner living in ancient greece, heron discovers his true heritage as a son of zeus, and his purpose to save the world from a demonic army.",2
1792,1,guillermo vilas settling the score,matias gueilburt,nan,argentina,2020,tv 14,95,"documentaries, international movies, sports movies","an argentine journalist strives to prove that his countryman, tennis star guillermo vilas, was wrongly denied the no. 1 world ranking in the 1970s.",1
1793,1,sarah cooper everything s fine,natasha lyonne,"sarah cooper, fred armisen, maya rudolph, ben stiller, megan thee stallion, jane lynch, jon hamm, aubrey plaza, connie chung, jordan black, tommy davidson, helen mirren, jonathan van ness, danielle brooks, winona ryder, marcella arguello, eddie pepitone, marisa tomei, whoopi goldberg, tom kane",united states,2020,tv ma,50,comedies,"comedian and trump lip synching sensation sarah cooper tackles politics, race and other light topics in a sketch special packed with celebrity guests.",2
1794,0,the devil punisher,"chang chin jung, chen rong hui","mike he, ivy shao, anson chen, jane chang, roy chang, amanda chou, johnny yang, yin chao te, tan ai chen, chen bor jeng, dewi chien",taiwan,2020,tv 14,1,"international tv shows, romantic tv shows, tv mysteries","a baker by day and demon fighter by night, a reincarnated deity must jog his amnesiac lover s memory of their millennium long romance.",1
1795,1,ajab prem ki ghazab kahani,rajkumar santoshi,"ranbir kapoor, katrina kaif, govind namdeo, darshan jariwala, zakir hussain, smita jaykar, navneet nishan, dolly bindra, upen patel",india,2009,tv 14,150,"comedies, international movies, music musicals","a young man s obsession with making others happy drives him to help the girl he loves marry someone else, then try to win her heart.",1
1796,1,black 47,lance daly,"hugo weaving, james frecheville, stephen rea, freddie fox, barry keoghan, moe dunford, sarah greene, jim broadbent","ireland, luxembourg, belgium",2018,r,100,"action adventure, dramas, independent movies","when the great famine ravages his beloved country, a battle hardened irishman deserts the british empire and exacts revenge on the tyrants responsible.",3
1797,1,i am woman,unjoo moon,"tilda cobham hervey, danielle macdonald, evan peters, chris parnell, david lyons, matty cardarople, dusty sorg",australia,2019,tv ma,117,"dramas, music musicals","in the 1960s, australian singer helen reddy struggles with misogyny in the music business until she records an anthem for the women s movement.",1
1798,1,alice junior,gil baroni,"anne celestino mota, emmanuel rosset, matheus moura, surya amitrano, thais schier, cida rolim, katia horn, igor augustho, marcel szymanski",brazil,2019,tv ma,87,"comedies, international movies, lgbtq movies","in a small town, a trans teen with a vibrant personality shakes up her high school s conservative ways while trying to secure her first kiss.",1
1799,0,barbarians,nan,"laurence rupp, jeanne goursaud, david schutter, ronald zehrfeld, nicki von tempelhoff, bernhard schutz, eva verena muller, sophie rois, gaetano aronica, nikolai kinski, jeremy miliker",germany,2020,tv ma,1,"international tv shows, tv action adventure, tv dramas","torn between the mighty empire that raised him and his own tribal people, a roman officer s conflicted allegiances lead to an epic historical clash.",1
1800,0,move,"thierry demaiziere, alban teurlai",nan,united states,2020,tv ma,1,"docuseries, international tv shows",discover the brilliant dancers and choreographers who are shaping the art of movement around the world in this documentary series.,2
1802,1,shattered memories,chris sivertson,"elizabeth bogush, brad schmidt, sarah lind, eddie kaye thomas, phillip boyd, victoria barabas, mark famiglietti, walker borba, meg delacy",united states,2018,tv 14,86,"dramas, thrillers","when her former lover s mysteriously murdered, a woman must clear her name and avoid the killer.",2
1803,0,stolen away,nan,"daniel grao, carolina lapausa, melani olivares, adriana paz, fernando solorzano, juan carlos messier, jon arias, veronica velasquez, david trejos, ana maria orozco",spain,2020,tv ma,1,"crime tv shows, international tv shows, spanish language tv shows","searching for his kidnapped daughter, antonio sets off a series of events affecting scores of people when he maneuvers to be sent to prison in colombia.",1
1804,0,the queen s gambit,nan,"anya taylor joy, bill camp, marielle heller, thomas brodie sangster, moses ingram, harry melling, isla johnston, christiane seidel, rebecca root, chloe pirrie, jacob fortune lloyd",united states,2020,tv ma,1,tv dramas,"in a 1950s orphanage, a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction.",2
1805,1,bending the arc,"kief davidson, pedro kos",nan,united states,2017,tv ma,102,documentaries,this documentary follows a group of ambitious advocates whose mission to save lives in haiti turns into a global fight for health care and justice.,2
1806,1,cadaver,jarand herdal,"gitte witt, thomas gullestad, thorbjrn harr, tuva olivia remman, trine wiggen, maria grazia di meo, kingsford siayor, jonatan rodriguez",norway,2020,tv ma,87,"horror movies, international movies","when a peculiar hotel dinner show draws crowds during a postapocalyptic famine, one family discovers they ll pay much more than the price of admission.",1
1807,1,exes baggage,dan villegas,"angelica panganiban, carlo aquino, dionne monsanto",philippines,2018,tv ma,103,"dramas, international movies, romantic movies","after years apart, a former couple reunites and gets reacquainted with the pains of love as they work to heal wounds from the past.",1
1808,1,fisherman s friends,chris foggin,"daniel mays, james purefoy, david hayman, dave johns, sam swainsbury, tuppence middleton, noel clarke, maggie steed, vahid gold, christian brassington",united kingdom,2019,pg 13,112,"comedies, dramas, music musicals","sea shanties have long united 10 cornish fishermen, but when their chants sail to the music charts, their friendship is kept at bay.",2
1809,1,the hows of us,cathy garcia molina,"kathryn bernardo, daniel padilla, darren espanto, jean garcia, susan africa, ria atayde, kit thompson, odette khan, alwyn uytingco, juan miguel severo",philippines,2018,tv 14,120,"dramas, international movies, romantic movies","a young couple s house was once a happy home. but with one as the breadwinner and the other looking for a big break, can love still live here",1
1810,1,the hummingbird project,kim nguyen,"jesse eisenberg, alexander skarsgard, salma hayek, michael mando, sarah goldberg, anna maguire, frank schorpion, johan heldenbergh, kwasi songui, ayisha issa","canada, belgium",2018,r,111,"dramas, independent movies","after discovering a shortcut that gives them a technological advantage, two cousins look to earn their big score by outracing a massive corporation.",2
1811,1,"yes, god, yes",karen maine,"natalia dyer, timothy simons, wolfgang novogratz, francesca reale, susan blackwell, alisha boe, donna lynne champlin, parker wierling",united states,2020,r,78,"comedies, dramas, independent movies","a devoutly religious teen grapples with her own sexual awakening, and attends a catholic school retreat in the hopes of suppressing her newfound urges.",2
1812,1,brave blue world racing to solve our water crisis,tim neeves,"liam neeson, matt damon, jaden smith","canada, united kingdom",2020,tv pg,51,"documentaries, international movies","from reuse to energy generation, new innovations across five continents are explored in this documentary about building a future for sustainable water.",3
1813,0,my next guest needs no introduction with david letterman,nan,"president barack obama, george clooney, malala yousafzai, jay z, tina fey, howard stern, david letterman",united states,2020,tv ma,3,stand up comedy talk shows,tv legend david letterman teams up with fascinating global figures for in depth interviews and curiosity fueled excursions in this monthly talk show.,2
1814,1,rebecca,ben wheatley,"lily james, armie hammer, kristin scott thomas, keeley hawes, ann dowd, sam riley, tom goodman hill, mark lewis jones, john hollingworth, bill paterson",united kingdom,2020,pg 13,123,"dramas, romantic movies, thrillers","a young newlywed moves to her husband s imposing estate, where she must contend with his sinister housekeeper and the haunting shadow of his late wife.",2
1816,1,tremors shrieker island,don michael paul,"michael gross, jon heder, caroline langrishe, cassie clare, matthew douglas, sahajak boonthanakit, david asavanond, jackie cruz, richard brake",united states,2020,pg 13,102,"action adventure, horror movies","when massive mutant creatures infiltrate an island nature preserve, scientists recruit a legendary monster hunter to battle the beasts.",2
1817,1,beirut oh beirut,maroun baghdadi,"ezzat el alaily, mireille maalouf, joseph bou nassar, elie adabachi, philippe akiki, ahmed al zein",lebanon,1975,tv 14,106,"classic movies, dramas, international movies","in the aftermath of the 1967 arab israeli war, four young lebanese navigate their existence along rapidly transforming political lines.",1
1818,1,bosta,philippe aractingi,"rodney el haddad, nadine labaky, nada abou farhat, liliane nemri, omar rajeh, mounir malaeb, bshara atallah, rana alamuddin, joelle rizk, mahfouz barakat, mahmoud mabsout, bader haddad, youssef emalhoub",lebanon,2005,tv 14,112,"dramas, international movies, music musicals","after 15 years in france, kamal returns to his native beirut and reassembles his dance crew, striving to modernize traditional dabke routines.",1
1819,1,ghadi,amin dora,"georges khabbaz, lara rain, emmanuel khairallah, samir youssef, camille salameh, rodrigue sleiman, caroline labaki, giselle boueiz, christine choueiri",lebanon,2013,tv ma,101,"comedies, dramas, international movies","when the father of a boy with down syndrome resists his neighbors efforts to have the child institutionalized, miraculous events begin to occur.",1
1820,1,heritages,philippe aractingi,"philippe aractingi, diane aractingi","lebanon, united arab emirates, france, switzerland, germany",2014,tv 14,96,"documentaries, international movies","after being forced to leave his country three times, a lebanese film director traces his roots and analyzes key moments of the nation s history.",3
1821,1,listen,philippe aractingi,"hadi bou ayash, ruba zarour, yara bou nassar, rafik ali ahmad, joseph bou nassar, lama lawand",lebanon,2017,tv ma,103,"dramas, independent movies, international movies","a sound engineer falls for a model but after an unfortunate accident, he fights to save their love by triggering her senses.",1
1822,1,out of life,maroun baghdadi,"hippolyte girardot, rafik ali ahmad, hussein sbeity, habib hammoud, majdi machmouchi, hassan farhat, hassan zbib, nabila zeitouni, hamza nasrallah, sami hawat, sabrina leurquin, roger assaf, nidal el askhar","france, belgium, italy",1991,tv ma,94,"classic movies, dramas, independent movies","kidnapped by guerrillas in beirut, a french photojournalist refuses to yield his dignity despite being tortured and brainwashed by his captors.",3
1823,1,panoptic,rana eid,rana eid,lebanon,2017,tv ma,69,"documentaries, international movies",this documentary dissects lebanon s present day paradoxes stemming from years of conflict as the director attempts to reconcile with her nation s past.,1
1824,1,taxi ballad,daniel joseph,"talal el jordi, karina logue, badih abou chakra, tariq tamim, omar mikati, hiam abou chedid, mahmoud mabsout, aida sabra","lebanon, united states, united arab emirates",2012,tv ma,81,"dramas, international movies",a taxi driver new to beirut forms an unlikely bond with a bored american pilates instructor who loves hearing him tell stories about his past.,3
1825,1,the kite,randa chahal sabbag,"flavia bechara, maher bsaibes, randa asmar, renee dick, julia kassar, liliane nemri, ziad rahbani, nayef naji, edmond haddad, alia nemry","lebanon, france",2003,tv ma,76,"dramas, international movies, romantic movies","in an occupied village, a teen girl is set to wed a stranger. but when she crosses over to meet her betrothed, her heart gets entangled at the border.",2
1826,1,the little wars,maroun baghdadi,"soraya khoury, nabil ismail, roger hawa, reda khoury, youcef hosni, rifaat tarabay","france, lebanon",1982,tv 14,108,"dramas, independent movies, international movies","beirut resident soraya is drawn to two men daredevil photographer nabil and talal, who must embrace his feudal heritage when his father is kidnapped.",2
1827,1,under the bombs,philippe aractingi,"nada abou farhat, georges khabbaz, bshara atallah, rawia elchab, elham abbas, iman affara, zahra ali, ali maerouf amer, ali azour, najat darwish","france, lebanon, united kingdom",2007,tv ma,94,"dramas, independent movies, international movies",a mother arrives in war torn lebanon looking for her missing son in the south as a cab driver agrees to escort her on her dangerous trip.,3
1828,0,unsolved mysteries,nan,nan,nan,2020,tv ma,2,"crime tv shows, docuseries","real cases of perplexing disappearances, shocking murders and paranormal encounters fuel this gripping revival of the iconic documentary series.",1
1829,1,west beirut,ziad doueiri,"rami doueiri, mohamad chamas, rola al amin, carmen lebbos, joseph bou nassar, liliane nemri","france, norway, lebanon, belgium",1999,tv ma,106,"dramas, international movies","three intrepid teens roam the streets of beirut in the midst of civil war, filming on a super 8 camera and reckoning with the pains of growing up.",3
1830,1,what did i mess,shady hanna,"rola beksmati, junaid zeineldine, abboudy mallah, tanya nasr, matteo el khodr, rita el khoury, tony benn",lebanon,2018,tv 14,98,"comedies, international movies, romantic movies","in an attempt to get her ex to propose, nayla hosts a gathering to introduce him to her new suitor only for the party to turn into a hellish occasion.",1
1831,1,whispers,maroun baghdadi,"nadia tueni, ziad rahbani","lebanon, canada, france",1980,tv 14,93,"documentaries, international movies","with her home devastated by war, a lebanese poet takes a cross country road trip, looking for glimmers of hope through nostalgic memories and verse.",3
1832,1,zozo,josef fares,"imad creidi, antoinette turk, elias gergi, carmen lebbos, viktor axelsson, charbel iskandar, yasmine awad","sweden, czech republic, united kingdom, denmark, netherlands",2005,tv ma,99,"dramas, international movies","when lebanon s civil war deprives zozo of his family, he s left with grief and little means as he escapes to sweden in search of his grandparents.",3
1834,0,start up,nan,"bae suzy, nam joo hyuk, kim seon ho, kang han na, kim do wan, yu su bin, stephanie lee, kim hae sook, seo yi sook, song sun mi",south korea,2020,tv 14,1,"international tv shows, romantic tv shows, tv comedies",young entrepreneurs aspiring to launch virtual dreams into reality compete for success and love in the cutthroat world of korea s high tech industry.,2
1835,1,i am vengeance retaliation,ross boyask,"stu bennett, vinnie jones, mark griffin, katrina durden, phoebe robinson galvin, sam benjamin, david schaal, jessica jane stafford, bentley kalu, jean paul ly",united kingdom,2020,r,82,action adventure,"to clear his criminal record, an ex special forces soldier agrees to lead a team to retrieve a double crossing mercenary and deliver him to justice.",2
1836,1,disconnect,"david tosh gitonga, michael jones","brenda wairimu, nick mutuma, catherine kamau, pascal tokodi, patricia kihoro, pierra makena, bridget shighadi, brian ogola, illya frank, aseem sharma, arthur sanya, justin mirichii, maqbul mohammed",kenya,2018,tv ma,107,"comedies, international movies, romantic movies",a group of singletons stumbles through the wild dating scene in nairobi as two friends wonder if their relationship is more than platonic.,1
1837,0,grand army,nan,"odessa azion, odley jean, amir bageria, maliq johnson, amalia yoo, alphonso romero jones ii, thelonius serrell freed, anthony ippolito, brian altemus",united states,2020,tv ma,1,"tv dramas, teen tv shows","five students at the largest public high school in brooklyn take on a chaotic world as they fight to succeed, survive, break free and seize the future.",2
1838,1,in a valley of violence,ti west,"ethan hawke, john travolta, taissa farmiga, james ransone, karen gillan, toby huss, tommy nohilly, larry fessenden, michael davis, burn gorman",united states,2016,r,104,action adventure,"after a quiet drifter is met with violence and bullying in a small town, he finds himself enmeshed in a vengeful struggle with the local marshal.",2
1839,0,la revolution,nan,"amir el kacem, marilou aussilloux, lionel erdogan, isabel aime gonzalez sola, julien frison, doudou masta, dimitri storoge, amelia lacquemant, coline beal, laurent lucas, gaia weiss, chiara tantimonaco, nina tantimonaco, pierre andrau, philippine martinot, jeremie covillault",france,2020,tv ma,1,"international tv shows, tv action adventure, tv dramas","in a reimagined history, a mysterious disease besets 18th century france, culminating in a brutal clash between rebels and the aristocracy.",1
1840,0,someone has to die,manolo caro,"carmen maura, cecilia suarez, ester exposito, ernesto alterio, alejandro speitzer, isaac hernandez, carlos cuevas, mariola fuentes, pilar castro, juan carlos vellido, eduardo casanova, manuel moron, javier pereira","mexico, spain",2020,tv ma,1,"crime tv shows, international tv shows, spanish language tv shows","in conservative 1950s spain, the alleged relationship between a young man and a mexican ballerino creates an uproar of harrowing consequences.",2
1842,1,the trial of the chicago 7,aaron sorkin,"sacha baron cohen, eddie redmayne, yahya abdul mateen ii, jeremy strong, mark rylance, joseph gordon levitt, michael keaton, frank langella, john carroll lynch, alex sharp, john doman, ben shenkman","united states, united kingdom, india",2020,r,130,dramas,what was supposed to be a peaceful protest turned into a violent clash with the police. what followed was one of the most notorious trials in history.,3
1843,1,unfriended,levan gabriadze,"shelley hennig, moses storm, renee olstead, will peltz, jacob wysocki, courtney halverson, heather sossaman, matthew bohrer, mickey river, cal barnes","united states, russia",2014,r,83,"horror movies, thrillers",six teens whose cyberbullying drove their classmate to kill herself become the target of an online stalker with a lethal agenda.,3
1844,1,a babysitter s guide to monster hunting,rachel talalay,"tamara smart, oona laurence, tom felton, troy leigh anne johnson, lynn masako cheng, ty consiglio, ian ho, indya moore, alessio scalzotto, tamsen mcdonough",united states,2020,tv pg,99,children family movies,"recruited by a secret society of babysitters, a high schooler battles the boogeyman and his monsters when they nab the boy she s watching on halloween.",2
1845,1,batman the killing joke,sam liu,"kevin conroy, mark hamill, tara strong, ray wise, john dimaggio, robin atkin downes, brian george, jp karliak, andrew kishino, nolan north",united states,2016,r,77,action adventure,the joker makes life hell for the gordon family in a monstrous attempt to prove to batman that one bad day can drive a good man to madness.,2
1846,1,el khawaga s dilemma,peter mimi,"hassan el raddad, mohamed lotfy, hana el zahed, hassan hosny, majed el masry, mohamed ezz, samia trabelsi, yasser al zankalouni, ahmed el sobky, bayoumi fouad",egypt,2018,tv 14,94,"action adventure, comedies, international movies","after a car crash, sparks fly for a financially struggling man and the daughter of a business tycoon, unraveling dark secrets and loose ends.",1
1848,0,half half,nan,"rachel true, essence atkins, telma hopkins, chico benymon, valarie pettiford, alec mapa",united states,2005,tv 14,4,tv comedies,"after two estranged half sisters in their twenties find their lives suddenly entwined, they grow closer as they get to know more about each other.",2
1849,1,kartini princess of java,hanung bramantyo,"dian sastrowardoyo, ayushita, acha septriasa, deddy sutomo, christine hakim, djenar maesa ayu, denny sumargo, adinia wirasti, reza rahadian","indonesia, netherlands",2017,tv pg,118,"dramas, international movies",a woman of nobility battles patriarchal norms in order to improve educational access for women in early 1900s indonesian society.,2
1850,1,love like the falling rain,lasja fauzia susatyo,"jefri nichol, aurora ribero, axel matthew, nadya arina, karina suwandhi, rebecca klopper",indonesia,2020,tv 14,87,"dramas, international movies, romantic movies","fearing rejection, a young man struggles to declare his feelings for his best friend, who soon falls for another man until a fateful incident.",1
1851,0,one on one,nan,"flex alexander, kyla pratt, kelly perine, sicily johnson, robert ri chard",united states,2006,tv 14,5,"tv comedies, teen tv shows","when his ex wife lands a job abroad, athlete turned sportscaster flex washington assumes full time custody of their teenage daughter, breanna.",2
1853,1,rooting for roona,"pavitra chalam, akshay shankar",nan,india,2020,tv pg,42,"documentaries, international movies","in rural india, a child with hydrocephalus gets a chance at life changing surgery after her photos go viral. this documentary charts her journey.",1
